omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode
0.5,4,0.00224,0.39,0.09,0.0,protofilament
0.55,4,0.00224,0.39,0.09,0.0,protofilament
0.6,4,0.00224,0.39,0.09,0.0,protofilament
0.65,4,0.00224,0.39,0.09,0.0,protofilament
0.7,4,0.00224,0.39,0.09,0.0,protofilament
0.75,4,0.00224,0.39,0.09,0.0,protofilament
0.8,4,0.00224,0.39,0.09,0.0,protofilament
0.85,4,0.00224,0.39,0.09,0.0,protofilament
0.9,4,0.00224,0.39,0.09,0.0,protofilament
0.95,4,0.00224,0.39,0.09,0.0,protofilament
1.0,4,0.00224,0.39,0.09,0.0,protofilament
0.7,4,0.00224,0.39,0.09,0.0,protofilament
0.71,4,0.00224,0.39,0.09,0.0,protofilament
0.72,4,0.00224,0.39,0.09,0.0,protofilament
0.73,4,0.00224,0.39,0.09,0.0,protofilament
0.74,4,0.00224,0.39,0.09,0.0,protofilament
0.75,4,0.00224,0.39,0.09,0.0,protofilament
0.76,4,0.00224,0.39,0.09,0.0,protofilament
0.77,4,0.00224,0.39,0.09,0.0,protofilament
0.78,4,0.00224,0.39,0.09,0.0,protofilament
0.79,4,0.00224,0.39,0.09,0.0,protofilament
0.8,4,0.00224,0.39,0.09,0.0,protofilament
0.81,4,0.00224,0.39,0.09,0.0,protofilament
0.82,4,0.00224,0.39,0.09,0.0,protofilament
0.83,4,0.00224,0.39,0.09,0.0,protofilament
0.84,4,0.00224,0.39,0.09,0.0,protofilament
0.85,4,0.00224,0.39,0.09,0.0,protofilament
0.86,4,0.00224,0.39,0.09,0.0,protofilament
0.87,4,0.00224,0.39,0.09,0.0,protofilament
0.88,4,0.00224,0.39,0.09,0.0,protofilament
0.89,4,0.00224,0.39,0.09,0.0,protofilament
0.9,4,0.00224,0.39,0.09,0.0,protofilament
0.91,4,0.00224,0.39,0.09,0.0,protofilament
0.92,4,0.00224,0.39,0.09,0.0,protofilament
0.93,4,0.00224,0.39,0.09,0.0,protofilament
0.94,4,0.00224,0.39,0.09,0.0,protofilament
0.95,4,0.00224,0.39,0.09,0.0,protofilament
0.96,4,0.00224,0.39,0.09,0.0,protofilament
0.97,4,0.00224,0.39,0.09,0.0,protofilament
0.98,4,0.00224,0.39,0.09,0.0,protofilament
0.99,4,0.00224,0.39,0.09,0.0,protofilament
1.0,4,0.00224,0.39,0.09,0.0,protofilament
0.0,1,0.00224,0.39,0.09,0.0,mixed
0.05,1,0.00224,0.39,0.09,0.0,mixed
0.1,1,0.00224,0.39,0.09,0.0,mixed
0.15,1,0.00224,0.39,0.09,0.0,mixed
0.2,1,0.00224,0.39,0.09,0.0,mixed
0.25,1,0.00224,0.39,0.09,0.0,mixed
0.3,1,0.00224,0.39,0.09,0.0,mixed
0.35,1,0.00224,0.39,0.09,0.0,mixed
0.4,1,0.00224,0.39,0.09,0.0,mixed
0.45,1,0.00224,0.39,0.09,0.0,mixed
0.5,1,0.00224,0.39,0.09,0.0,mixed
0.55,1,0.00224,0.39,0.09,0.0,mixed
0.6,1,0.00224,0.39,0.09,0.0,mixed
0.65,1,0.00224,0.39,0.09,0.0,mixed
0.7,1,0.00224,0.39,0.09,0.0,mixed
0.75,1,0.00224,0.39,0.09,0.0,mixed
0.8,1,0.00224,0.39,0.09,0.0,mixed
0.85,1,0.00224,0.39,0.09,0.0,mixed
0.9,1,0.00224,0.39,0.09,0.0,mixed
0.95,1,0.00224,0.39,0.09,0.0,mixed
1.0,1,0.00224,0.39,0.09,0.0,mixed
0.7,1,0.00224,0.39,0.09,0.0,mixed
0.71,1,0.00224,0.39,0.09,0.0,mixed
0.72,1,0.00224,0.39,0.09,0.0,mixed
0.73,1,0.00224,0.39,0.09,0.0,mixed
0.74,1,0.00224,0.39,0.09,0.0,mixed
0.75,1,0.00224,0.39,0.09,0.0,mixed
0.76,1,0.00224,0.39,0.09,0.0,mixed
0.77,1,0.00224,0.39,0.09,0.0,mixed
0.78,1,0.00224,0.39,0.09,0.0,mixed
0.79,1,0.00224,0.39,0.09,0.0,mixed
0.8,1,0.00224,0.39,0.09,0.0,mixed
0.81,1,0.00224,0.39,0.09,0.0,mixed
0.82,1,0.00224,0.39,0.09,0.0,mixed
0.83,1,0.00224,0.39,0.09,0.0,mixed
0.84,1,0.00224,0.39,0.09,0.0,mixed
0.85,1,0.00224,0.39,0.09,0.0,mixed
0.86,1,0.00224,0.39,0.09,0.0,mixed
0.87,1,0.00224,0.39,0.09,0.0,mixed
0.88,1,0.00224,0.39,0.09,0.0,mixed
0.89,1,0.00224,0.39,0.09,0.0,mixed
0.9,1,0.00224,0.39,0.09,0.0,mixed
0.91,1,0.00224,0.39,0.09,0.0,mixed
0.92,1,0.00224,0.39,0.09,0.0,mixed
0.93,1,0.00224,0.39,0.09,0.0,mixed
0.94,1,0.00224,0.39,0.09,0.0,mixed
0.95,1,0.00224,0.39,0.09,0.0,mixed
0.96,1,0.00224,0.39,0.09,0.0,mixed
0.97,1,0.00224,0.39,0.09,0.0,mixed
0.98,1,0.00224,0.39,0.09,0.0,mixed
0.99,1,0.00224,0.39,0.09,0.0,mixed
1.0,1,0.00224,0.39,0.09,0.0,mixed
0.0,2,0.00224,0.39,0.09,0.0,mixed
0.05,2,0.00224,0.39,0.09,0.0,mixed
0.1,2,0.00224,0.39,0.09,0.0,mixed
0.15,2,0.00224,0.39,0.09,0.0,mixed
0.2,2,0.00224,0.39,0.09,0.0,mixed
0.25,2,0.00224,0.39,0.09,0.0,mixed
0.3,2,0.00224,0.39,0.09,0.0,mixed
0.35,2,0.00224,0.39,0.09,0.0,mixed
0.4,2,0.00224,0.39,0.09,0.0,mixed
0.45,2,0.00224,0.39,0.09,0.0,mixed
0.5,2,0.00224,0.39,0.09,0.0,mixed
0.55,2,0.00224,0.39,0.09,0.0,mixed
0.6,2,0.00224,0.39,0.09,0.0,mixed
0.65,2,0.00224,0.39,0.09,0.0,mixed
0.7,2,0.00224,0.39,0.09,0.0,mixed
0.75,2,0.00224,0.39,0.09,0.0,mixed
0.8,2,0.00224,0.39,0.09,0.0,mixed
0.85,2,0.00224,0.39,0.09,0.0,mixed
0.9,2,0.00224,0.39,0.09,0.0,mixed
0.95,2,0.00224,0.39,0.09,0.0,mixed
1.0,2,0.00224,0.39,0.09,0.0,mixed
0.7,2,0.00224,0.39,0.09,0.0,mixed
0.71,2,0.00224,0.39,0.09,0.0,mixed
0.72,2,0.00224,0.39,0.09,0.0,mixed
0.73,2,0.00224,0.39,0.09,0.0,mixed
0.74,2,0.00224,0.39,0.09,0.0,mixed
0.75,2,0.00224,0.39,0.09,0.0,mixed
0.76,2,0.00224,0.39,0.09,0.0,mixed
0.77,2,0.00224,0.39,0.09,0.0,mixed
0.78,2,0.00224,0.39,0.09,0.0,mixed
0.79,2,0.00224,0.39,0.09,0.0,mixed
0.8,2,0.00224,0.39,0.09,0.0,mixed
0.81,2,0.00224,0.39,0.09,0.0,mixed
0.82,2,0.00224,0.39,0.09,0.0,mixed
0.83,2,0.00224,0.39,0.09,0.0,mixed
0.84,2,0.00224,0.39,0.09,0.0,mixed
0.85,2,0.00224,0.39,0.09,0.0,mixed
0.86,2,0.00224,0.39,0.09,0.0,mixed
0.87,2,0.00224,0.39,0.09,0.0,mixed
0.88,2,0.00224,0.39,0.09,0.0,mixed
0.89,2,0.00224,0.39,0.09,0.0,mixed
0.9,2,0.00224,0.39,0.09,0.0,mixed
0.91,2,0.00224,0.39,0.09,0.0,mixed
0.92,2,0.00224,0.39,0.09,0.0,mixed
0.93,2,0.00224,0.39,0.09,0.0,mixed
0.94,2,0.00224,0.39,0.09,0.0,mixed
0.95,2,0.00224,0.39,0.09,0.0,mixed
0.96,2,0.00224,0.39,0.09,0.0,mixed
0.97,2,0.00224,0.39,0.09,0.0,mixed
0.98,2,0.00224,0.39,0.09,0.0,mixed
0.99,2,0.00224,0.39,0.09,0.0,mixed
1.0,2,0.00224,0.39,0.09,0.0,mixed
0.0,3,0.00224,0.39,0.09,0.0,mixed
0.05,3,0.00224,0.39,0.09,0.0,mixed
0.1,3,0.00224,0.39,0.09,0.0,mixed
0.15,3,0.00224,0.39,0.09,0.0,mixed
0.2,3,0.00224,0.39,0.09,0.0,mixed
0.25,3,0.00224,0.39,0.09,0.0,mixed
0.3,3,0.00224,0.39,0.09,0.0,mixed
0.35,3,0.00224,0.39,0.09,0.0,mixed
0.4,3,0.00224,0.39,0.09,0.0,mixed
0.45,3,0.00224,0.39,0.09,0.0,mixed
0.5,3,0.00224,0.39,0.09,0.0,mixed
0.55,3,0.00224,0.39,0.09,0.0,mixed
0.6,3,0.00224,0.39,0.09,0.0,mixed
0.65,3,0.00224,0.39,0.09,0.0,mixed
0.7,3,0.00224,0.39,0.09,0.0,mixed
0.75,3,0.00224,0.39,0.09,0.0,mixed
0.8,3,0.00224,0.39,0.09,0.0,mixed
0.85,3,0.00224,0.39,0.09,0.0,mixed
0.9,3,0.00224,0.39,0.09,0.0,mixed
0.95,3,0.00224,0.39,0.09,0.0,mixed
1.0,3,0.00224,0.39,0.09,0.0,mixed
0.7,3,0.00224,0.39,0.09,0.0,mixed
0.71,3,0.00224,0.39,0.09,0.0,mixed
0.72,3,0.00224,0.39,0.09,0.0,mixed
0.73,3,0.00224,0.39,0.09,0.0,mixed
0.74,3,0.00224,0.39,0.09,0.0,mixed
0.75,3,0.00224,0.39,0.09,0.0,mixed
0.76,3,0.00224,0.39,0.09,0.0,mixed
0.77,3,0.00224,0.39,0.09,0.0,mixed
0.78,3,0.00224,0.39,0.09,0.0,mixed
0.79,3,0.00224,0.39,0.09,0.0,mixed
0.8,3,0.00224,0.39,0.09,0.0,mixed
0.81,3,0.00224,0.39,0.09,0.0,mixed
0.82,3,0.00224,0.39,0.09,0.0,mixed
0.83,3,0.00224,0.39,0.09,0.0,mixed
0.84,3,0.00224,0.39,0.09,0.0,mixed
0.85,3,0.00224,0.39,0.09,0.0,mixed
0.86,3,0.00224,0.39,0.09,0.0,mixed
0.87,3,0.00224,0.39,0.09,0.0,mixed
0.88,3,0.00224,0.39,0.09,0.0,mixed
0.89,3,0.00224,0.39,0.09,0.0,mixed
0.9,3,0.00224,0.39,0.09,0.0,mixed
0.91,3,0.00224,0.39,0.09,0.0,mixed
0.92,3,0.00224,0.39,0.09,0.0,mixed
0.93,3,0.00224,0.39,0.09,0.0,mixed
0.94,3,0.00224,0.39,0.09,0.0,mixed
0.95,3,0.00224,0.39,0.09,0.0,mixed
0.96,3,0.00224,0.39,0.09,0.0,mixed
0.97,3,0.00224,0.39,0.09,0.0,mixed
0.98,3,0.00224,0.39,0.09,0.0,mixed
0.99,3,0.00224,0.39,0.09,0.0,mixed
1.0,3,0.00224,0.39,0.09,0.0,mixed
0.0,4,0.00224,0.39,0.09,0.0,mixed
0.05,4,0.00224,0.39,0.09,0.0,mixed
0.1,4,0.00224,0.39,0.09,0.0,mixed
0.15,4,0.00224,0.39,0.09,0.0,mixed
0.2,4,0.00224,0.39,0.09,0.0,mixed
0.25,4,0.00224,0.39,0.09,0.0,mixed
0.3,4,0.00224,0.39,0.09,0.0,mixed
0.35,4,0.00224,0.39,0.09,0.0,mixed
0.4,4,0.00224,0.39,0.09,0.0,mixed
0.45,4,0.00224,0.39,0.09,0.0,mixed
0.5,4,0.00224,0.39,0.09,0.0,mixed
0.55,4,0.00224,0.39,0.09,0.0,mixed
0.6,4,0.00224,0.39,0.09,0.0,mixed
0.65,4,0.00224,0.39,0.09,0.0,mixed
0.7,4,0.00224,0.39,0.09,0.0,mixed
0.75,4,0.00224,0.39,0.09,0.0,mixed
0.8,4,0.00224,0.39,0.09,0.0,mixed
0.85,4,0.00224,0.39,0.09,0.0,mixed
0.9,4,0.00224,0.39,0.09,0.0,mixed
0.95,4,0.00224,0.39,0.09,0.0,mixed
1.0,4,0.00224,0.39,0.09,0.0,mixed
0.7,4,0.00224,0.39,0.09,0.0,mixed
0.71,4,0.00224,0.39,0.09,0.0,mixed
0.72,4,0.00224,0.39,0.09,0.0,mixed
0.73,4,0.00224,0.39,0.09,0.0,mixed
0.74,4,0.00224,0.39,0.09,0.0,mixed
0.75,4,0.00224,0.39,0.09,0.0,mixed
0.76,4,0.00224,0.39,0.09,0.0,mixed
0.77,4,0.00224,0.39,0.09,0.0,mixed
0.78,4,0.00224,0.39,0.09,0.0,mixed
0.79,4,0.00224,0.39,0.09,0.0,mixed
0.8,4,0.00224,0.39,0.09,0.0,mixed
0.81,4,0.00224,0.39,0.09,0.0,mixed
0.82,4,0.00224,0.39,0.09,0.0,mixed
0.83,4,0.00224,0.39,0.09,0.0,mixed
0.84,4,0.00224,0.39,0.09,0.0,mixed
0.85,4,0.00224,0.39,0.09,0.0,mixed
0.86,4,0.00224,0.39,0.09,0.0,mixed
0.87,4,0.00224,0.39,0.09,0.0,mixed
0.88,4,0.00224,0.39,0.09,0.0,mixed
0.89,4,0.00224,0.39,0.09,0.0,mixed
0.9,4,0.00224,0.39,0.09,0.0,mixed
0.91,4,0.00224,0.39,0.09,0.0,mixed
0.92,4,0.00224,0.39,0.09,0.0,mixed
0.93,4,0.00224,0.39,0.09,0.0,mixed
0.94,4,0.00224,0.39,0.09,0.0,mixed
0.95,4,0.00224,0.39,0.09,0.0,mixed
0.96,4,0.00224,0.39,0.09,0.0,mixed
0.97,4,0.00224,0.39,0.09,0.0,mixed
0.98,4,0.00224,0.39,0.09,0.0,mixed
0.99,4,0.00224,0.39,0.09,0.0,mixed
1.0,4,0.00224,0.39,0.09,0.0,mixed
