event id,MT id,time (s),velocity (nm/s),equilibrium density (1/nm),number of Ase1 molecules at tip fitted with gaussian (1),number of Ase1 molecules at tip fitted with exponential (1),lengthscale of exponential decay (nm),condition
1nM_314,,0.0,9.53065568407896,0.0021,9.71765685472272,,5.40114448618462,1nM
1nM_314,,2.6,8.78772038525875,0.0021,8.52904472351666,312.869866107274,35.2396579229349,1nM
1nM_314,,5.2,7.57309990231991,0.0021,7.26625431521885,224.140449159568,38.3403234630868,1nM
1nM_314,,5.2,2.48793755687486,0.0021,1.60866996880086,347.618361142287,110.209130304946,1nM
1nM_314,,7.8,5.92985038104719,0.0021,5.34886555921452,319.81929676276,58.7120039578286,1nM
1nM_314,,10.4,6.11147132890638,0.0021,4.62704073439302,218.951720893925,184.993131095226,1nM
1nM_315,,0.0,,0.0021,,,,1nM
1nM_315,,2.6,5.81413854717016,0.0021,4.94101545160426,,112.266159558507,1nM
1nM_315,,5.2,7.13923856400156,0.0021,6.68489497913837,375.927711065031,72.1669192767912,1nM
1nM_315,,7.8,15.0321311742146,0.0021,12.4825349907546,353.678925461897,121.038168981027,1nM
1nM_315,,10.4,10.7194566260624,0.0021,9.39999810147485,242.674001129445,128.732190850948,1nM
1nM_315,,13.0,6.31267892763325,0.0021,5.1450004221142,228.011131022706,78.6827744349469,1nM
1nM_315,,15.6,8.34456927146281,0.0021,5.93413814714571,210.960649680159,95.2985917562559,1nM
1nM_315,,18.2,9.65816879284266,0.0021,9.09275218546987,223.990550563435,12.5989348085808,1nM
1nM_136,,0.0,2.74137940281227,0.0021,2.07740200648033,,999.999999984412,1nM
1nM_136,,2.6,4.67894562690018,0.0021,4.14535623343344,407.094009769808,308.641005083691,1nM
1nM_136,,7.8,1.57635144656885,0.0021,1.57592746449437,159.651680750946,5.33606380629326,1nM
1nM_317,,0.0,4.50692772522682,0.0021,4.45950135490305,,5.28500228100809,1nM
1nM_317,,2.6,8.99489799730285,0.0021,9.18987542468198,441.079021752063,250.298244951286,1nM
1nM_317,,5.2,3.23230821181455,0.0021,3.26130043716373,381.678576234416,5.32651907373716,1nM
1nM_318,,0.0,2.64770339809098,0.0021,2.63905901005259,,5.29744425512524,1nM
1nM_318,,2.6,5.05874027012671,0.0021,4.92925106680046,387.440848436186,25.5071971186159,1nM
1nM_318,,5.2,2.62806623758025,0.0021,2.54993426030885,384.653434837599,5.27364038320255,1nM
1nM_318,,7.8,2.21074415574142,0.0021,2.12676408072802,203.076663541307,10.7405128732019,1nM
1nM_318,,10.4,6.98333176930515,0.0021,7.085175522253,394.248141299582,5.34763196776605,1nM
1nM_318,,13.0,6.18474890419102,0.0021,6.28551505473514,356.418048017019,5.36579448802399,1nM
1nM_318,,15.6,3.17774453662572,0.0021,3.13360578525914,236.932212584052,5.06235486590079,1nM
1nM_318,,18.2,4.96347397718225,0.0021,4.68031820851757,312.519631381472,67.689002346935,1nM
1nM_318,,20.8,9.50889272256022,0.0021,9.48363747585657,318.954309494867,5.28448686439476,1nM
1nM_318,,23.4,9.70586348801139,0.0021,9.30725311947031,230.174294522815,48.4170044784394,1nM
1nM_318,,26.0,16.360824058584,0.0021,16.828510187623,245.219698171692,201.389036252087,1nM
1nM_318,,28.6,6.24727623427241,0.0021,5.8717707132164,196.174033128068,89.0304191882512,1nM
1nM_318,,31.2,7.73619845963999,0.0021,7.82187898483982,250.957807463758,5.35524256920539,1nM
1nM_318,,33.8,13.8950872217394,0.0021,13.6016729178224,232.579317136573,92.1776310347589,1nM
1nM_318,,36.4,12.843734778554,0.0021,12.4724115927357,187.829630003025,60.2968081931148,1nM
1nM_318,,39.0,7.53850515295129,0.0021,7.47660489429766,185.65322204681,19.0872415046537,1nM
1nM_319,,0.0,1.52279496663619,0.0021,1.50414633748542,,5.28249909713002,1nM
1nM_319,,2.6,9.31566329830063,0.0021,5.66387682177801,603.450636085162,342.478559068159,1nM
1nM_320,,0.0,1.74108161218955,0.0025,1.27729961348805,,115.749242440169,1nM
1nM_320,,2.6,4.46200627861846,0.0025,4.09189447252266,435.057199716942,104.20688863771,1nM
1nM_320,,5.2,3.37655281149465,0.0025,3.37616034717206,156.910459675364,5.34568160129839,1nM
1nM_321,,0.0,1.42396299605801,0.0025,1.42777166973892,,5.35020080481019,1nM
1nM_321,,2.6,3.18976951051114,0.0025,2.8647468063142,568.437112104668,304.074306259264,1nM
1nM_321,,5.2,5.44830711802109,0.0025,4.99335402274532,484.181982016764,162.815958350329,1nM
1nM_322,,0.0,2.02963758166761,0.0025,0.350433451728136,,5.01325696533406,1nM
1nM_322,,2.6,3.2934405865491,0.0025,3.30905033950296,373.407352138981,5.35286898446702,1nM
1nM_322,,5.2,5.11070972651532,0.0025,4.74298857315783,420.026281220239,122.583136947801,1nM
1nM_323,,0.0,10.9372045743922,0.0025,10.8829338104981,,5.28985621742206,1nM
1nM_323,,2.6,13.6950335855292,0.0025,13.6426059881583,176.525120101277,5.3960414066983,1nM
1nM_323,,5.2,12.0956284073647,0.0025,11.9544358024551,165.635500973739,5.36667467531821,1nM
1nM_324,,0.0,2.06969340211677,0.0025,1.87487406508104,,46.9929362050345,1nM
1nM_324,,2.6,4.14218815149463,0.0025,3.5765875142944,444.377025269032,127.030129974194,1nM
1nM_324,,5.2,4.09768405780941,0.0025,4.00667686054361,381.320832433618,22.221619919384,1nM
1nM_324,,7.8,6.12048011333886,0.0025,6.01019674171565,355.464445576859,5.32805453484481,1nM
1nM_324,,10.4,7.60402733320835,0.0025,7.28831727384696,290.371933039607,145.452551706162,1nM
1nM_324,,13.0,8.47861053976191,0.0025,7.23902612484482,354.960316634967,163.683023619993,1nM
1nM_324,,15.6,15.3776031718587,0.0025,10.9180375813887,239.035723362733,155.230257537063,1nM
1nM_324,,18.2,,0.0025,,,,1nM
1nM_324,,20.8,,0.0025,,,,1nM
1nM_324,,23.4,,0.0025,,,,1nM
