condition	equilibrium_density	protofilaments	kon	alpha
1nM	0.00300	13	0.00003	0.00185
6nM	0.07500	13	0.00077	0.04615
antiparallel	0.06600	1	0.01790	0.52800
antiparallel	0.06600	2	0.00574	0.26400
antiparallel	0.06600	3	0.00342	0.17600
parallel	0.02000	1	0.00305	0.16000
parallel	0.02000	2	0.00139	0.08000
parallel	0.02000	3	0.00090	0.05333
