time (s),num Ase1 divded by equilibrium density (nm),equilibrium density (1/nm),event id
7.348,328.58,0.11035,9
9.828,404.83,0.14602,9
12.293,332.13,0.18408,9
14.758,360.15,0.21455,9
17.66,567.28,0.18597,9
0,162.04,0.036042,10
2.449,NaN,0.03964,10
4.898,209.49,0.067811,10
7.316,402.16,0.11331,10
9.765,489.27,0.16743,10
12.215,607.3,0.18427,10
15.195,651.96,0.20547,10
17.16,658.32,0.24021,10
0,NaN,0.053312,10
2.481,1.41E-09,0.018179,10
4.93,112.91,0.052978,10
7.878,122.37,0.06544,10
10.296,446.22,0.056677,10
12.754,478.09,0.075025,10
15.21,648.8,0.07786,10
17.691,559.23,0.1014,10
20.14,571.83,0.10357,10
22.589,437.57,0.15706,10
25.023,357.95,0.20396,10
0,NaN,0.13555,11
2.449,76.866,0.13555,11
5.444,155.1,0.13788,11
7.909,193.26,0.16668,11
10.327,329.75,0.16787,11
12.776,371.85,0.16961,11
