omega,cooperativity,kon,v_s,D,tip_off
0.7,1,4e-05,0.3,0.09,0.0
0.71,1,4e-05,0.3,0.09,0.0
0.72,1,4e-05,0.3,0.09,0.0
0.73,1,4e-05,0.3,0.09,0.0
0.74,1,4e-05,0.3,0.09,0.0
0.75,1,4e-05,0.3,0.09,0.0
0.76,1,4e-05,0.3,0.09,0.0
0.77,1,4e-05,0.3,0.09,0.0
0.78,1,4e-05,0.3,0.09,0.0
0.79,1,4e-05,0.3,0.09,0.0
0.8,1,4e-05,0.3,0.09,0.0
0.81,1,4e-05,0.3,0.09,0.0
0.82,1,4e-05,0.3,0.09,0.0
0.83,1,4e-05,0.3,0.09,0.0
0.84,1,4e-05,0.3,0.09,0.0
0.85,1,4e-05,0.3,0.09,0.0
0.86,1,4e-05,0.3,0.09,0.0
0.87,1,4e-05,0.3,0.09,0.0
0.88,1,4e-05,0.3,0.09,0.0
0.89,1,4e-05,0.3,0.09,0.0
0.9,1,4e-05,0.3,0.09,0.0
0.91,1,4e-05,0.3,0.09,0.0
0.92,1,4e-05,0.3,0.09,0.0
0.93,1,4e-05,0.3,0.09,0.0
0.94,1,4e-05,0.3,0.09,0.0
0.95,1,4e-05,0.3,0.09,0.0
0.96,1,4e-05,0.3,0.09,0.0
0.97,1,4e-05,0.3,0.09,0.0
0.98,1,4e-05,0.3,0.09,0.0
0.99,1,4e-05,0.3,0.09,0.0
1.0,1,4e-05,0.3,0.09,0.0
0.7,2,4e-05,0.3,0.09,0.0
0.71,2,4e-05,0.3,0.09,0.0
0.72,2,4e-05,0.3,0.09,0.0
0.73,2,4e-05,0.3,0.09,0.0
0.74,2,4e-05,0.3,0.09,0.0
0.75,2,4e-05,0.3,0.09,0.0
0.76,2,4e-05,0.3,0.09,0.0
0.77,2,4e-05,0.3,0.09,0.0
0.78,2,4e-05,0.3,0.09,0.0
0.79,2,4e-05,0.3,0.09,0.0
0.8,2,4e-05,0.3,0.09,0.0
0.81,2,4e-05,0.3,0.09,0.0
0.82,2,4e-05,0.3,0.09,0.0
0.83,2,4e-05,0.3,0.09,0.0
0.84,2,4e-05,0.3,0.09,0.0
0.85,2,4e-05,0.3,0.09,0.0
0.86,2,4e-05,0.3,0.09,0.0
0.87,2,4e-05,0.3,0.09,0.0
0.88,2,4e-05,0.3,0.09,0.0
0.89,2,4e-05,0.3,0.09,0.0
0.9,2,4e-05,0.3,0.09,0.0
0.91,2,4e-05,0.3,0.09,0.0
0.92,2,4e-05,0.3,0.09,0.0
0.93,2,4e-05,0.3,0.09,0.0
0.94,2,4e-05,0.3,0.09,0.0
0.95,2,4e-05,0.3,0.09,0.0
0.96,2,4e-05,0.3,0.09,0.0
0.97,2,4e-05,0.3,0.09,0.0
0.98,2,4e-05,0.3,0.09,0.0
0.99,2,4e-05,0.3,0.09,0.0
1.0,2,4e-05,0.3,0.09,0.0
0.7,3,4e-05,0.3,0.09,0.0
0.71,3,4e-05,0.3,0.09,0.0
0.72,3,4e-05,0.3,0.09,0.0
0.73,3,4e-05,0.3,0.09,0.0
0.74,3,4e-05,0.3,0.09,0.0
0.75,3,4e-05,0.3,0.09,0.0
0.76,3,4e-05,0.3,0.09,0.0
0.77,3,4e-05,0.3,0.09,0.0
0.78,3,4e-05,0.3,0.09,0.0
0.79,3,4e-05,0.3,0.09,0.0
0.8,3,4e-05,0.3,0.09,0.0
0.81,3,4e-05,0.3,0.09,0.0
0.82,3,4e-05,0.3,0.09,0.0
0.83,3,4e-05,0.3,0.09,0.0
0.84,3,4e-05,0.3,0.09,0.0
0.85,3,4e-05,0.3,0.09,0.0
0.86,3,4e-05,0.3,0.09,0.0
0.87,3,4e-05,0.3,0.09,0.0
0.88,3,4e-05,0.3,0.09,0.0
0.89,3,4e-05,0.3,0.09,0.0
0.9,3,4e-05,0.3,0.09,0.0
0.91,3,4e-05,0.3,0.09,0.0
0.92,3,4e-05,0.3,0.09,0.0
0.93,3,4e-05,0.3,0.09,0.0
0.94,3,4e-05,0.3,0.09,0.0
0.95,3,4e-05,0.3,0.09,0.0
0.96,3,4e-05,0.3,0.09,0.0
0.97,3,4e-05,0.3,0.09,0.0
0.98,3,4e-05,0.3,0.09,0.0
0.99,3,4e-05,0.3,0.09,0.0
1.0,3,4e-05,0.3,0.09,0.0
0.7,4,4e-05,0.3,0.09,0.0
0.71,4,4e-05,0.3,0.09,0.0
0.72,4,4e-05,0.3,0.09,0.0
0.73,4,4e-05,0.3,0.09,0.0
0.74,4,4e-05,0.3,0.09,0.0
0.75,4,4e-05,0.3,0.09,0.0
0.76,4,4e-05,0.3,0.09,0.0
0.77,4,4e-05,0.3,0.09,0.0
0.78,4,4e-05,0.3,0.09,0.0
0.79,4,4e-05,0.3,0.09,0.0
0.8,4,4e-05,0.3,0.09,0.0
0.81,4,4e-05,0.3,0.09,0.0
0.82,4,4e-05,0.3,0.09,0.0
0.83,4,4e-05,0.3,0.09,0.0
0.84,4,4e-05,0.3,0.09,0.0
0.85,4,4e-05,0.3,0.09,0.0
0.86,4,4e-05,0.3,0.09,0.0
0.87,4,4e-05,0.3,0.09,0.0
0.88,4,4e-05,0.3,0.09,0.0
0.89,4,4e-05,0.3,0.09,0.0
0.9,4,4e-05,0.3,0.09,0.0
0.91,4,4e-05,0.3,0.09,0.0
0.92,4,4e-05,0.3,0.09,0.0
0.93,4,4e-05,0.3,0.09,0.0
0.94,4,4e-05,0.3,0.09,0.0
0.95,4,4e-05,0.3,0.09,0.0
0.96,4,4e-05,0.3,0.09,0.0
0.97,4,4e-05,0.3,0.09,0.0
0.98,4,4e-05,0.3,0.09,0.0
0.99,4,4e-05,0.3,0.09,0.0
1.0,4,4e-05,0.3,0.09,0.0
