time (s),tau (nm),event id
28.735,163.27,11
31.184,443.34,11
33.633,228.03,11
36.083,205.97,11
38.579,188.03,11
41.589,249.51,11
44.023,110.99,11
46.472,187.06,11
49.272,286.45,11
51.371,186.87,11
53.867,94.675,11
56.347,113.03,11
58.796,71.959,11
61.245,224.9,11
63.679,253.88,11
0,4.8309,12
3.167,58.42,12
4.898,122.42,12
7.348,80.659,12
9.797,140.01,12
12.714,NaN,12
15.163,1000,12
17.628,238.43,12
0,NaN,13
2.465,NaN,13
4.945,246.3,13
7.426,375.43,13
9.875,235,13
12.324,606.06,13
14.758,373.3,13
17.207,394.85,13
20.202,405.72,13
22.683,416.84,13
25.825,618.31,13
27.597,652.76,13
30.015,392.1,13
32.479,397.73,13
34.913,355.1,13
37.362,183.91,13
39.827,354,13
42.276,274.14,13
45.975,323.83,13
47.58,491.82,13
50.115,406.17,13
52.494,394.67,13
54.943,836.42,13
57.393,128.67,13
59.826,280.58,13
62.291,392.66,13
64.74,NaN,13
67.205,NaN,13
70.263,342.06,13
72.712,178.54,13
0,NaN,14
2.528,331.43,14
5.055,400.82,14
7.551,256.41,14
10.062,246.95,14
12.558,5.042,14
15.07,656.44,14
17.582,286.82,14
20.608,420.92,14
23.12,319.55,14
25.631,394.15,14
28.143,619.49,14
30.67,616.28,14
33.166,343.45,14
35.693,376.43,14
38.205,456.27,14
NaN,NaN,14
40.685,411.95,14
47.751,388.18,14
49.437,399.79,14
51.964,455.74,14
54.476,297.73,14
56.987,569.53,14
59.483,608.33,14
61.964,582.04,14
64.475,432.64,14
66.987,418.57,14
69.53,464.1,14
72.541,461.91,14
0,NaN,15
7.113,5.0452,15
10.377,5.0118,15
11.934,259.14,15
14.352,457.17,15
16.77,339.38,15
19.188,318.13,15
21.621,390.58,15
24.024,489.14,15
26.487,255.11,15
28.86,259.3,15
31.839,365.65,15
34.257,498.24,15
36.691,578.53,15
39.109,508.53,15
41.542,367.83,15
43.976,450.57,15
46.394,402.1,15
48.812,367.01,15
51.261,368.09,15
53.679,NaN,15
56.674,NaN,15
0,NaN,16
2.418,197.85,16
4.852,638.78,16
7.301,426.84,16
