,accumulation_end_fit,accumulation_timescale,velocity_decay_timescale,v_s_fit,shrinking_speed_steady_state
1625,67.00905142945811,24.068995778859133,39.25347522744128,177.67071906723078,61.39540208917846
1626,66.94461133361474,24.02083325908007,33.36683739418462,195.96841807897462,75.53323799435691
1627,21.01328571484627,1.0258512585084318,16.09524684290662,218.618408242945,101.05284751491818
1628,66.85163741669506,23.94845704599219,104.04553421572808,168.83120248678057,3.7659668791127165
1629,66.9417048079413,24.01862296293528,115.62096279780448,175.42695686800943,-69.04692658547958
1630,66.9322375292667,24.01140043166477,85.50800227160066,161.36687260026048,25.68774111977452
1631,21.30318936151422,0.9520021288127991,2592.946076016457,155.6145851261772,-3314.1243190100313
1632,66.91781531602356,24.000329683146262,31.707145153668357,165.68318295307,80.87954089460078
1633,66.91601892366148,23.998944950957174,38.38445204488759,215.73922664385077,94.6563140996881
1634,22.570611890765747,1.058374323272556,680.4297121927283,155.62774542225827,-719.3297682843481
1635,67.014091030886,24.072695376303564,32.32028726634361,217.68765694225797,48.27952160264999
1636,66.97804361139308,24.046020215638805,89.50113888613372,155.47328454120301,-0.6891892949203793
1637,66.9371200644896,24.015129699106595,64.6007022038119,151.8910020191077,63.710335135883795
1638,67.02149105141159,24.07811040105326,32.73161278826914,183.736685610371,74.04328571113649
1639,66.95429061586887,24.028170099116416,2109.1605612323574,152.7625646628694,-1935.385646260827
1640,22.024404232772227,8.805483582772371,25.043790912753717,178.53547229680106,91.09559618330277
1641,19.96821255439231,8.42343678352135,2080.293151169425,182.62408853078614,-3455.416523061047
1642,66.92673774488424,24.007188429719868,96.44874031395197,168.73959004881203,-14.858273320642736
1643,22.153950792558668,1.5215490016699924,2386.3911408465833,161.7952928808554,-2948.5064343243553
1644,66.96832828426324,24.038745672607007,3381.2684237870594,160.943590810557,-4378.862206949836
1645,22.1406249047782,0.8526739731169144,1717.6309956958214,178.70033045931086,-2789.0109334648046
1646,66.80835881779817,23.913556766430418,91.29481074986346,185.33101011762037,-8.558807916029748
1647,24.621230361633017,1.3858803312699308,0.48573850384694595,236.2609046888852,98.29608837686114
1648,23.428559855791008,1.096658586821171,20.516471821692484,207.10666257186983,98.88265002354774
