time (s),numAse1 (1),event id
2.449,NaN,11
4.892,NaN,11
7.316,9.80E-12,11
NaN,NaN,11
9.765,3.7858,11
16.458,2.1496,11
19.292,9.5319,11
21.403,10.861,11
23.868,6.2886,11
26.317,14.404,11
28.735,16.542,11
31.184,8.3981,11
33.633,7.4566,11
36.083,7.5113,11
38.579,10.188,11
41.589,15.698,11
44.023,23.892,11
46.472,15.087,11
49.272,16.119,11
51.371,13.129,11
53.867,13.864,11
56.347,12.456,11
58.796,11.406,11
61.245,8.9177,11
63.679,11.714,11
0,1.9027,12
3.167,10.135,12
4.898,19.919,12
7.348,20.256,12
9.797,25.484,12
12.714,NaN,12
15.163,23.623,12
17.628,27.98,12
0,NaN,13
2.465,NaN,13
4.945,9.2983,13
7.426,11.758,13
9.875,11.588,13
12.324,6.4144,13
14.758,7.6326,13
17.207,15.133,13
20.202,27.135,13
22.683,22.274,13
25.825,13.279,13
27.597,18.726,13
30.015,20.422,13
32.479,20.776,13
34.913,25.499,13
37.362,37.096,13
39.827,23.149,13
42.276,23.068,13
45.975,19.007,13
47.58,18.219,13
50.115,18.035,13
52.494,10.61,13
54.943,8.9354,13
57.393,20.517,13
59.826,19.192,13
62.291,17.584,13
64.74,NaN,13
67.205,NaN,13
70.263,10.91,13
72.712,9.1513,13
0,NaN,14
2.528,2.0115,14
5.055,8.2441,14
7.551,5.7844,14
10.062,4.7185,14
12.558,6.0541,14
15.07,9.6634,14
17.582,9.1475,14
20.608,18.348,14
23.12,23.423,14
25.631,15.542,14
28.143,17.144,14
30.67,24.302,14
33.166,30.497,14
35.693,34.13,14
38.205,29.713,14
NaN,NaN,14
40.685,20.491,14
47.751,24.104,14
49.437,16.23,14
51.964,10.951,14
54.476,19.905,14
56.987,9.4479,14
59.483,17.079,14
61.964,31.634,14
64.475,29.164,14
66.987,31.729,14
69.53,30.087,14
72.541,27.723,14
0,NaN,15
7.113,0.43605,15
10.377,5.5452,15
11.934,11.525,15
14.352,14.08,15
16.77,25.231,15
19.188,29.84,15
21.621,34.467,15
24.024,24.973,15
26.487,31.728,15
28.86,28.51,15
31.839,15.219,15
34.257,20.09,15
36.691,31.974,15
39.109,31.168,15
41.542,35.748,15
43.976,18.907,15
46.394,30.323,15
48.812,39.991,15
51.261,27.567,15
53.679,NaN,15
56.674,NaN,15
0,NaN,16
2.418,5.2823,16
4.852,2.4535,16
7.301,5.3763,16
10.304,7.8625,16
12.137,3.1396,16
14.555,4.8546,16
17.004,5.907,16
19.423,13.781,16
22.855,6.0269,16
25.304,10.444,16
28.484,NaN,16
30.187,9.6946,16
32.62,NaN,16
35.069,NaN,16
37.503,NaN,16
39.937,NaN,16
0,5.6297,16
2.418,6.3027,16
4.867,8.119,16
7.285,5.4343,16
10.045,13.811,16
12.152,10.678,16
14.602,7.6962,16
17.02,7.6693,16
19.453,11.727,16
21.902,18.685,16
24.866,24.665,16
27.3,19.872,16
30.355,25.905,16
32.183,23.826,16
34.616,19.651,16
37.05,17.502,16
39.484,11.542,16
41.902,8.8314,16
NaN,NaN,16
0,1.5742,17
2.433,3.1956,17
4.836,NaN,17
7.476,NaN,17
9.718,17.486,17
12.136,30.61,17
14.57,25.528,17
17.518,19.195,17
19.968,20.871,17
22.417,23.482,17
24.835,12.2,17
0,11.778,17
2.434,11.474,17
4.852,17.181,17
7.301,17.969,17
9.735,24.636,17
12.153,29.327,17
15.459,22.567,17
17.02,29.745,17
19.438,18.475,17
22.417,27.105,17
24.835,42.712,17
27.253,25.601,17
29.687,28.181,17
32.136,43.698,17
35.139,35.095,17
36.972,25.524,17
39.39,21.991,17
41.839,18.729,17
44.258,14.984,17
47.69,8.8167,17
0,NaN,18
6.487,12.032,18
8.533,15.747,18
10.998,15.21,18
13.447,12.582,18
15.881,11.097,18
18.299,17.868,18
20.717,21.142,18
23.182,13.672,18
25.6,18.183,18
28.018,15.759,18
30.951,NaN,18
0,NaN,18
2.418,NaN,18
4.836,7.832,18
7.285,10.465,18
9.734,20.906,18
12.876,28.482,18
14.617,23.703,18
17.051,19.241,18
19.515,NaN,18
21.949,22.202,18
24.991,18.041,18
27.44,16.697,18
0,5.7978,18
2.58,8.2791,18
4.836,10.216,18
7.27,8.2987,18
9.703,12.004,18
12.152,3.0062,18
15.974,4.1657,18
18.392,13.928,18
20.81,18.306,18
23.228,12.022,18
25.678,19.294,18
28.127,21.645,18
30.576,28.066,18
32.994,29.773,18
35.83,22.219,18
37.877,NaN,18
40.841,23.988,18
0,12.764,19
2.418,17.426,19
4.867,19.768,19
7.831,16.306,19
10.265,23.415,19
12.683,25.868,19
15.116,24.191,19
17.784,28.245,19
20.015,16.429,19
22.464,18.555,19
24.913,16.801,19
27.347,20.207,19
29.78,16.423,19
32.729,21.468,19
35.178,26.258,19
38.404,NaN,19
0,NaN,19
2.434,2.4955,19
4.867,6.3458,19
7.862,4.338,19
10.28,5.8816,19
12.851,8.8601,19
15.116,8.2775,19
17.534,15.183,19
19.968,20.813,19
22.402,20.078,19
24.851,19.148,19
NaN,NaN,19
27.269,18.891,19
33.384,22.112,19
35.833,15.136,19
38.298,16.187,19
41.501,23.507,19
43.181,20.127,19
45.599,20.246,19
48.048,15.175,19
50.451,24.467,19
0,NaN,19
2.418,2.8382,19
4.836,4.0017,19
7.254,NaN,19
9.704,4.5645,19
12.153,11.469,19
14.602,10.668,19
17.02,9.949,19
19.856,8.1708,19
21.903,11.954,19
