omega,cooperativity,kon,v_s
0.84,1,0.0001,0.3
0.84,1,0.0001333521432163324,0.3
0.84,1,0.00017782794100389227,0.3
0.84,1,0.00023713737056616554,0.3
0.84,1,0.00031622776601683794,0.3
0.84,1,0.00042169650342858224,0.3
0.84,1,0.0005623413251903491,0.3
0.84,1,0.0007498942093324559,0.3
0.84,1,0.001,0.3
0.84,1,0.001333521432163324,0.3
0.84,1,0.0017782794100389228,0.3
0.84,1,0.0023713737056616554,0.3
0.84,1,0.0031622776601683794,0.3
0.84,1,0.004216965034285823,0.3
0.84,1,0.005623413251903491,0.3
0.84,1,0.007498942093324558,0.3
0.84,1,0.01,0.3
0.84,1,0.01333521432163324,0.3
0.84,1,0.01778279410038923,0.3
0.84,1,0.023713737056616554,0.3
0.84,1,0.03162277660168379,0.3
0.84,1,0.042169650342858224,0.3
0.84,1,0.05623413251903491,0.3
0.84,1,0.07498942093324558,0.3
0.84,1,0.1,0.3
0.84,2,0.0001,0.3
0.84,2,0.0001333521432163324,0.3
0.84,2,0.00017782794100389227,0.3
0.84,2,0.00023713737056616554,0.3
0.84,2,0.00031622776601683794,0.3
0.84,2,0.00042169650342858224,0.3
0.84,2,0.0005623413251903491,0.3
0.84,2,0.0007498942093324559,0.3
0.84,2,0.001,0.3
0.84,2,0.001333521432163324,0.3
0.84,2,0.0017782794100389228,0.3
0.84,2,0.0023713737056616554,0.3
0.84,2,0.0031622776601683794,0.3
0.84,2,0.004216965034285823,0.3
0.84,2,0.005623413251903491,0.3
0.84,2,0.007498942093324558,0.3
0.84,2,0.01,0.3
0.84,2,0.01333521432163324,0.3
0.84,2,0.01778279410038923,0.3
0.84,2,0.023713737056616554,0.3
0.84,2,0.03162277660168379,0.3
0.84,2,0.042169650342858224,0.3
0.84,2,0.05623413251903491,0.3
0.84,2,0.07498942093324558,0.3
0.84,2,0.1,0.3
0.84,3,0.0001,0.3
0.84,3,0.0001333521432163324,0.3
0.84,3,0.00017782794100389227,0.3
0.84,3,0.00023713737056616554,0.3
0.84,3,0.00031622776601683794,0.3
0.84,3,0.00042169650342858224,0.3
0.84,3,0.0005623413251903491,0.3
0.84,3,0.0007498942093324559,0.3
0.84,3,0.001,0.3
0.84,3,0.001333521432163324,0.3
0.84,3,0.0017782794100389228,0.3
0.84,3,0.0023713737056616554,0.3
0.84,3,0.0031622776601683794,0.3
0.84,3,0.004216965034285823,0.3
0.84,3,0.005623413251903491,0.3
0.84,3,0.007498942093324558,0.3
0.84,3,0.01,0.3
0.84,3,0.01333521432163324,0.3
0.84,3,0.01778279410038923,0.3
0.84,3,0.023713737056616554,0.3
0.84,3,0.03162277660168379,0.3
0.84,3,0.042169650342858224,0.3
0.84,3,0.05623413251903491,0.3
0.84,3,0.07498942093324558,0.3
0.84,3,0.1,0.3
