shrinking_speed_steady_state,velocity_decay_timescale,equilibrium_density,P0_end_fit,lengthscale_density_end_fit,accumulation_end_fit,accumulation_timescale
0.03794099146186177,20.72544858807754,0.058823529411764705,0.05006735018838411,142.85438452711526,6.626800364932253,25.81419643635704
0.04449756129634231,19.883693818186142,0.058823529411764705,0.058823138593951975,136.6679884042895,7.504369530107424,25.01395869149942
0.05081390709985807,18.979599182794573,0.058823529411764705,0.06690712065780807,130.95797189572426,8.233786957334779,24.144148764008378
0.05693301542557236,18.047499284996757,0.058823529411764705,0.07430918370266527,125.65791441030818,8.827378525207376,23.234191411779104
0.06289264479895791,17.111821517298907,0.058823529411764705,0.08104627918265941,120.71297957128935,9.29916124867197,22.305982355800204
0.06872509031154517,16.189039744638897,0.058823529411764705,0.0871521162679435,116.07810850538075,9.663437096899798,21.375071801692258
0.07445746408893526,15.290077831629429,0.058823529411764705,0.0926696949359955,111.71689352923241,9.934039007569691,20.45253181114965
0.08011221906409295,14.421931806893701,0.058823529411764705,0.09764626351927598,107.60021095490701,10.12384389098014,19.546081304134223
0.08570777673985869,13.588760984296856,0.058823529411764705,0.1021300268443139,103.70443187732977,10.244597689414151,18.661155885542627
0.09125914662138802,12.792949518909117,0.058823529411764705,0.1061679462425032,100.01031584934067,10.306817689896704,17.80146558560106
0.09677845866445028,12.035668412774628,0.058823529411764705,0.10980448842244506,96.50226204271056,10.319829722566404,16.969588053341663
0.1022754552038268,11.31721688246374,0.058823529411764705,0.11308097913945554,93.16730459486598,10.291831062512795,16.1672701265578
0.10775789521644145,10.637316776168595,0.058823529411764705,0.11603531404074907,89.99454033595246,10.229970827660848,15.395640648350634
0.11323190248656399,9.995315001945583,0.058823529411764705,0.11870189716957805,86.97462105208122,10.140455946138827,14.655385140860972
0.11870227285765883,9.390265716698513,0.058823529411764705,0.1211116861563696,84.09933051028119,10.028632499053245,13.946801900827516
0.1241726864799146,8.821130243872908,0.058823529411764705,0.12329247737764791,81.36134639826192,9.89909201566469,13.269917081946124
0.1296459518783309,8.286470587899377,0.058823529411764705,0.12526901662276732,78.7539376603992,9.755753057434056,12.624511971034606
0.1351241407389424,7.784973802009763,0.058823529411764705,0.12706335745919842,76.27086059441002,9.601936344176037,12.010149933837882
0.14060875709801654,7.315209189147255,0.058823529411764705,0.12869504219238942,73.9061945472621,9.440455201079343,11.42626010637539
0.14610084609134583,6.87567268523283,0.058823529411764705,0.1301813846247518,71.65427768838435,9.27365617448953,10.872078182218711
0.1516010798588069,6.46485311751795,0.058823529411764705,0.13153772856760926,69.50967159006112,9.103509568062519,10.346756009162473
0.15710984851459117,6.081229210636484,0.058823529411764705,0.13277765542190917,67.46711358909076,8.931636829681624,9.849331252321598
0.16262732002267632,5.723283649822814,0.058823529411764705,0.1339131873140705,65.52150825522224,8.759373586717727,9.378768950141188
0.16815349875625718,5.389538501446214,0.058823529411764705,0.13495496282365063,63.66791846858209,8.587806135122218,8.933989114272643
0.17368826491612616,5.078526216178189,0.058823529411764705,0.13591240796378148,61.90157091028982,8.417808872966106,8.51384539670423
0.17923140401115528,4.788839380654633,0.058823529411764705,0.13679389059230246,60.217865776974584,8.250078062939142,8.11719769459405
0.03126645998085863,18.276770008358554,0.058823529411764705,0.036823625521165235,149.43486202184047,5.053142644561332,24.037994971715033
0.03649213918891824,17.337226226433526,0.058823529411764705,0.04261652303362518,144.26659533861024,5.682072203211644,23.21394282675303
0.0415081415146283,16.417809077240047,0.058823529411764705,0.04788364218394701,139.46420349900671,6.207766372713203,22.391229100390763
0.04635507942917005,15.529794042193695,0.058823529411764705,0.05266045076812675,134.97078250003165,6.642284071221917,21.58037767851695
0.051066220227539684,14.678945213131271,0.058823529411764705,0.05698630242016739,130.7411786417207,6.996831008416954,20.78730223633185
0.05566867187546374,13.867762275809792,0.058823529411764705,0.06090111850454216,126.73961959242531,7.281584581498673,20.015386802120176
0.06018448577326473,13.096611565596488,0.058823529411764705,0.06444343587698369,122.93796293949009,7.505619223599296,19.2661565333609
0.06463163000043556,12.364968363261049,0.058823529411764705,0.06764942714453931,119.31343891966326,7.676973982751563,18.540250001579288
0.06902471924360304,11.671275736963986,0.058823529411764705,0.07055255047082847,115.84812463303075,7.80273057578026,17.83761862925556
0.0733757152407421,11.014045130944686,0.058823529411764705,0.0731832403843918,112.52739330045955,7.889105079762832,17.15794298434518
0.07769435789583443,10.391619812538876,0.058823529411764705,0.07556914000159387,109.33973369545508,7.941562465391509,16.50079596028439
0.08198862987536615,9.802335262680689,0.058823529411764705,0.077735176285323,106.27551147805737,7.964891773843869,15.865659880263813
0.0862650500600562,9.244650059828938,0.058823529411764705,0.07970376096135026,103.32691387083136,7.963294234040192,15.252040986847373
0.09052894416771251,8.717176792582773,0.058823529411764705,0.08149503932085471,100.48734074062183,7.940449488064113,14.659422701307287
0.09478465328375187,8.218351676997312,0.058823529411764705,0.08312702365442887,97.75133860474679,7.899593676003293,14.087378191837868
0.09903568180589034,7.746982332515833,0.058823529411764705,0.08461589587457415,95.11426120040286,7.843555329880376,13.53548506118066
0.10328488019617933,7.301869441011193,0.058823529411764705,0.08597608618718232,92.57202558365276,7.774815156511481,13.003361759240974
0.1075345178999874,6.881899266747526,0.058823529411764705,0.08722053117811959,90.12105781650119,7.695542477847475,12.490637409355722
0.11178640697353613,6.485999164254209,0.058823529411764705,0.08836077137235468,87.75811281412899,7.607634670154053,11.996943055908234
0.1160419655131975,6.11313450486747,0.058823529411764705,0.089407126466884,85.48021809385733,7.512742514977015,11.521928642460244
