time (s),velocity (nm/s),event id
28.735,140.41,11
31.184,77.187,11
33.633,157.01,11
36.083,156.17,11
38.579,124.35,11
41.589,148,11
44.023,134.86,11
46.472,74.604,11
49.272,84.734,11
51.371,108.2,11
53.867,123.1,11
56.347,95.761,11
58.796,71.506,11
61.245,54.325,11
63.679,80.657,11
0,NaN,12
3.167,153.99,12
4.898,63.466,12
7.348,126.04,12
9.797,118.88,12
12.714,NaN,12
15.163,123.59,12
17.628,244.77,12
0,NaN,13
2.465,NaN,13
4.945,NaN,13
7.426,96.458,13
9.875,154.92,13
12.324,137.92,13
14.758,129.87,13
17.207,230.29,13
20.202,34.961,13
22.683,61.934,13
25.825,115.95,13
27.597,171.53,13
30.015,180.47,13
32.479,117.58,13
34.913,96.6,13
37.362,123.96,13
39.827,64.932,13
42.276,107.52,13
45.975,72.697,13
47.58,127.08,13
50.115,117.49,13
52.494,99.567,13
54.943,38.169,13
57.393,99.827,13
59.826,36.089,13
62.291,45.467,13
64.74,NaN,13
67.205,NaN,13
70.263,100.88,13
72.712,92.723,13
0,NaN,14
2.528,NaN,14
5.055,186.46,14
7.551,141.86,14
10.062,109.16,14
12.558,126.02,14
15.07,88.922,14
17.582,87.554,14
20.608,88.87,14
23.12,117.87,14
25.631,88.727,14
28.143,106.8,14
30.67,132.43,14
33.166,153.64,14
35.693,43.974,14
38.205,42.813,14
NaN,NaN,14
40.685,93.708,14
47.751,63.02,14
49.437,85.718,14
51.964,146.6,14
54.476,114.33,14
56.987,22.089,14
59.483,91.969,14
61.964,107.49,14
64.475,81.239,14
66.987,92.326,14
69.53,43.718,14
72.541,40.554,14
0,NaN,15
7.113,NaN,15
10.377,337.27,15
11.934,205.54,15
14.352,194.85,15
16.77,187.29,15
19.188,137.59,15
21.621,125.37,15
24.024,155.33,15
26.487,198.91,15
28.86,110.15,15
31.839,151.49,15
34.257,135.87,15
36.691,124.93,15
39.109,97.24,15
41.542,166.84,15
43.976,171.43,15
46.394,150.64,15
48.812,122,15
51.261,81.107,15
53.679,NaN,15
56.674,NaN,15
0,NaN,16
2.418,NaN,16
4.852,305.95,16
7.301,300.07,16
10.304,214.23,16
12.137,521.95,16
14.555,227.45,16
17.004,393.96,16
19.423,289.42,16
22.855,209.7,16
25.304,199.2,16
28.484,NaN,16
30.187,220.87,16
32.62,NaN,16
35.069,NaN,16
37.503,NaN,16
39.937,NaN,16
0,NaN,16
2.418,19.615,16
4.867,82.535,16
7.285,196.49,16
10.045,277.81,16
12.152,163.71,16
14.602,171.64,16
17.02,217.69,16
19.453,185.11,16
21.902,129.88,16
24.866,103.81,16
27.3,50.162,16
30.355,73.639,16
32.183,102.42,16
34.616,99.246,16
37.05,60.338,16
39.484,86.281,16
41.902,118.19,16
NaN,NaN,16
0,NaN,17
2.433,50.894,17
4.836,NaN,17
7.476,NaN,17
9.718,61.921,17
12.136,125.5,17
14.57,167.97,17
17.518,196.76,17
19.968,177.69,17
22.417,87.603,17
24.835,108.9,17
0,NaN,17
2.434,175.29,17
4.852,79.905,17
7.301,101.21,17
9.735,66.088,17
12.153,71.143,17
15.459,39.516,17
17.02,140.86,17
19.438,88.808,17
22.417,122.39,17
24.835,83.339,17
27.253,74.563,17
29.687,50.98,17
32.136,71.239,17
35.139,34.944,17
36.972,144.64,17
39.39,33.251,17
41.839,129.19,17
44.258,105.67,17
47.69,71.09,17
0,NaN,18
6.487,NaN,18
8.533,182.65,18
10.998,141.23,18
13.447,82.846,18
15.881,169.9,18
18.299,125.53,18
20.717,100.57,18
23.182,121.65,18
25.6,149.4,18
28.018,32.506,18
30.951,NaN,18
0,NaN,18
2.418,NaN,18
4.836,NaN,18
7.285,123.05,18
9.734,145.82,18
12.876,53.29,18
14.617,103.84,18
17.051,148.77,18
19.515,NaN,18
21.949,125.62,18
24.991,165.54,18
27.44,110.88,18
0,NaN,18
2.58,83.097,18
4.836,165.97,18
7.27,244.41,18
9.703,215.47,18
12.152,89.481,18
15.974,87.718,18
18.392,90.335,18
20.81,121.29,18
23.228,99.375,18
25.678,114.12,18
28.127,100.86,18
30.576,111.29,18
