,shrinking_speed_steady_state,velocity_decay_timescale,equilibrium_density,P0_end_fit,lengthscale_density_end_fit,accumulation_end_fit,accumulation_timescale,omega,cooperativity,accumulation_norm_end_fit,accumulation_norm_timescale,accumulation_end_fit_fitness,accumulation_end_fit_deviation,accumulation_timescale_fitness,accumulation_timescale_deviation,shrinking_speed_steady_state_fitness,shrinking_speed_steady_state_deviation,overall_fitness_sum,overall_fitness_geometric,accumulation_fitness_sum,accumulation_fitness_geometric
139,0.147084664710579,4.599646143936438,0.0588235294117647,0.108825385874733,0.5701016469625315,7.70963275361866,9.220669475080246,0.85,5,7.70963275361866,9.220669475080246,0.35092966178704377,0.5923931648719825,0.021848515345547673,0.14781243298703825,0.04067163483287032,0.2016720973086518,0.13781660398848725,0.0678127275496655,0.3618539194598176,0.6105556298426797
140,0.142780392288487,4.812362395170357,0.0588235294117647,0.1129675043457163,0.5840176396031725,8.187305097125346,9.686885724943352,0.86,5,8.187305097125346,9.686885724943352,0.47755623485016385,0.6910544369658326,0.01096712769480385,0.1047240549959934,0.02772440553263565,0.16650647294515505,0.1720825893592011,0.05256054835221439,0.4830397986975658,0.6989444631334937
141,0.1383405548516001,5.039724248641192,0.0588235294117647,0.1173329573167087,0.598958150768608,8.708167977234572,10.192013840968954,0.87,5,8.708167977234572,10.192013840968954,0.6378203198877411,0.7986365380370104,0.0033685703541959187,0.0580393862320745,0.016960710155340303,0.13023329127124256,0.21938320013242577,0.033153496321276704,0.6395046050648391,0.8007427116383495
142,0.1337616723340984,5.282454512045189,0.0588235294117647,0.1219381252029856,0.6150151887809037,9.277177944774394,10.739291284888656,0.88,5,9.277177944774394,10.739291284888656,0.8393550519476835,0.9161632234201957,5.5639900565155184e-05,0.007459215814357109,0.008616317323693418,0.09282412037662095,0.28267566972398067,0.0073827457612249976,0.839382871897966,0.9161935886308354
143,0.1290409613306724,5.540872585024761,0.0588235294117647,0.1268002719683108,0.6322867773159963,9.89986856797428,11.332002942923715,0.89,5,9.89986856797428,11.332002942923715,1.0915598762277154,1.0447774290382212,0.0022391871488288005,0.047320050177792505,0.0029437374110575696,0.05425622002183316,0.36558093359586724,0.019305409041650647,1.0926794698021298,1.045848489685071
144,0.124176627953484,5.815347268212587,0.0588235294117647,0.1319373095335938,0.6508755162539946,10.58234261555469,11.97324428543388,0.9,5,10.58234261555469,11.97324428543388,1.4059785338294677,1.1857396568511436,0.011360255550291107,0.10658449957799261,0.00021068331658634945,0.014514934260490105,0.4725164908987817,0.01498530704014222,1.4116586616046132,1.1905203859572329
145,0.1191681545561799,6.105383189294761,0.0588235294117647,0.13736753079313,0.6708871747277504,11.3312942961961,12.665789180503978,0.91,5,11.3312942961961,12.665789180503978,1.7967594702337586,1.3404325683277614,0.02910111776016846,0.1705904972739351,0.0006971694228675907,0.026403966044281885,0.6088525858055983,0.033157311909435064,1.8113100291138429,1.3512440889764985
146,0.1140166873133769,6.410963173520611,0.0588235294117647,0.1431091069721553,0.6924278835453025,12.153971690502816,13.411814360980545,0.92,5,12.153971690502816,13.411814360980545,2.2811668640296903,1.5103532249211409,0.05737903794391323,0.23953922005365474,0.004691033069659104,0.06849111672077704,0.7810789783477543,0.08499491366607671,2.3098563830016468,1.529230493409546
147,0.1087253737736501,6.730418135558617,0.0588235294117647,0.149179558584908,0.7156013162445599,13.058115545036486,14.212604012606093,0.93,5,13.058115545036486,14.212604012606093,2.8801499245810205,1.6971004462261567,0.0983131975286315,0.3135493542149808,0.01248153771188276,0.11172080250285871,0.9969815532738449,0.15232283120040205,2.9293065233453364,1.7258224480257671
148,0.103299875909913,7.061614700484896,0.0588235294117647,0.1555947320346533,0.7405030843594521,14.051809614061815,15.068098500575138,0.94,5,14.051809614061815,15.068098500575138,3.618912308838035,1.9023438986781636,0.15414684306966225,0.39261538822321046,0.024350593004875385,0.15604676544188728,1.265803248304191,0.2386019995276572,3.695985730372866,1.9424363958461284
149,0.0977486375389837,7.401622927469187,0.0588235294117647,0.1623679640789241,0.7672166359187564,15.143300928294442,15.976544750108088,0.95,5,15.143300928294442,15.976544750108088,4.527477401603579,2.127786972796755,0.2271240169319778,0.4765753003796754,0.0405619680988351,0.20140002010634234,1.5983877955447972,0.3468002940067215,4.641039410069568,2.180504854049987
150,0.0920832301298676,7.7465724784479795,0.0588235294117647,0.1695087903156412,0.7958066989695509,16.34071157643312,16.93403339502144,0.96,5,16.34071157643312,16.93403339502144,5.641134462484184,2.375107252838108,0.31930159760487864,0.5650677814252717,0.06134836864017097,0.24768602835075493,2.007261476243078,0.47986991224382564,5.800785261286624,2.441400430099303
151,0.0863185223485813,8.091212371909648,0.0588235294117647,0.1770215928317501,0.8263128132895248,17.651703052873582,17.93422969602118,0.97,5,17.651703052873582,17.93422969602118,7.000719017897726,2.6458871891858364,0.4323159358461056,0.6575073656211812,0.08689720229865033,0.2947833141455777,2.5066440520141606,0.6406928764932681,7.216876985820779,2.7263592855204966
152,0.0804725685851645,8.429694709084279,0.0588235294117647,0.1849044395487366,0.8587437611187546,19.083034183507063,18.967994535555192,0.98,5,19.083034183507063,18.967994535555192,8.652556322499617,2.9415227897297713,0.5670834026759275,0.7530494025466905,0.11733664836746388,0.3425443743042117,3.1123254578476693,0.8319074561447763,8.93609802383758,3.036385964460965
153,0.0745662426458351,8.755401537149178,0.0588235294117647,0.1931479207422748,0.8930749348473443,20.640143153233083,20.023583930286808,0.99,5,20.640143153233083,20.023583930286808,10.648064969181833,3.263137289355419,0.7235348140281874,0.8506084963296495,0.1527236014071194,0.39079867119415773,3.8414411282057137,1.0557119250193263,11.009832376195927,3.3721802714579217
154,0.0686226316114638,9.06136752256739,0.0588235294117647,0.2017345585567216,0.929244663454217,22.32668957459936,21.08687004437162,1.0,5,22.32668957459936,21.08687004437162,13.042835217058531,3.6114865660913833,0.9003712276165455,0.9488789320121643,0.19303508738601696,0.43935758487366183,4.712080510687032,1.3136407862020163,13.493020830866804,3.7340603161538617
155,0.1888030316982034,2.595561546083736,0.0588235294117647,0.0593134436890667,0.4599789729465705,3.42185924763546,5.363675376803444,0.7,6,3.42185924763546,5.363675376803444,0.08598321402218455,0.29322894472098854,0.25429971875267815,0.5042813884654858,0.2943153954350225,0.5425084289068903,0.21153277606996176,0.18600481142663733,0.2131330733985236,0.5833377518855287
