omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode
0.5,13,0.00012,0.39,0.09,0.0,mixed
0.55,13,0.00012,0.39,0.09,0.0,mixed
0.6,13,0.00012,0.39,0.09,0.0,mixed
0.65,13,0.00012,0.39,0.09,0.0,mixed
0.7,13,0.00012,0.39,0.09,0.0,mixed
0.75,13,0.00012,0.39,0.09,0.0,mixed
0.8,13,0.00012,0.39,0.09,0.0,mixed
0.85,13,0.00012,0.39,0.09,0.0,mixed
0.9,13,0.00012,0.39,0.09,0.0,mixed
0.95,13,0.00012,0.39,0.09,0.0,mixed
1.0,13,0.00012,0.39,0.09,0.0,mixed
0.7,13,0.00012,0.39,0.09,0.0,mixed
0.71,13,0.00012,0.39,0.09,0.0,mixed
0.72,13,0.00012,0.39,0.09,0.0,mixed
0.73,13,0.00012,0.39,0.09,0.0,mixed
0.74,13,0.00012,0.39,0.09,0.0,mixed
0.75,13,0.00012,0.39,0.09,0.0,mixed
0.76,13,0.00012,0.39,0.09,0.0,mixed
0.77,13,0.00012,0.39,0.09,0.0,mixed
0.78,13,0.00012,0.39,0.09,0.0,mixed
0.79,13,0.00012,0.39,0.09,0.0,mixed
0.8,13,0.00012,0.39,0.09,0.0,mixed
0.81,13,0.00012,0.39,0.09,0.0,mixed
0.82,13,0.00012,0.39,0.09,0.0,mixed
0.83,13,0.00012,0.39,0.09,0.0,mixed
0.84,13,0.00012,0.39,0.09,0.0,mixed
0.85,13,0.00012,0.39,0.09,0.0,mixed
0.86,13,0.00012,0.39,0.09,0.0,mixed
0.87,13,0.00012,0.39,0.09,0.0,mixed
0.88,13,0.00012,0.39,0.09,0.0,mixed
0.89,13,0.00012,0.39,0.09,0.0,mixed
0.9,13,0.00012,0.39,0.09,0.0,mixed
0.91,13,0.00012,0.39,0.09,0.0,mixed
0.92,13,0.00012,0.39,0.09,0.0,mixed
0.93,13,0.00012,0.39,0.09,0.0,mixed
0.94,13,0.00012,0.39,0.09,0.0,mixed
0.95,13,0.00012,0.39,0.09,0.0,mixed
0.96,13,0.00012,0.39,0.09,0.0,mixed
0.97,13,0.00012,0.39,0.09,0.0,mixed
0.98,13,0.00012,0.39,0.09,0.0,mixed
0.99,13,0.00012,0.39,0.09,0.0,mixed
1.0,13,0.00012,0.39,0.09,0.0,mixed
