shrinking_speed_steady_state,velocity_decay_timescale,equilibrium_density,P0_end_fit,lengthscale_density_end_fit,accumulation_end_fit,accumulation_timescale
0.2990748482264772,0.9434453972923295,0.058823529411764705,0.0028533129714160593,37.47209588775099,0.10825861534961773,1.8839463064701027
0.298055382507899,0.9927857038079528,0.058823529411764705,0.0059971786698879564,37.59427485899264,0.22827390202916875,1.946969438114615
0.29692642743277164,1.048864508857378,0.058823529411764705,0.009478288489859137,37.73049935034411,0.36206828726678153,2.017379464496881
0.2956693732074562,1.1131548506881808,0.058823529411764705,0.013353885650596002,37.88333840845695,0.5121554158457788,2.0965424291555266
0.2942611479743944,1.187354661140052,0.058823529411764705,0.01769491712634985,38.05602380073012,0.68169842361602,2.1861881522115123
0.29267279866985213,1.2737220599765207,0.058823529411764705,0.02259038399255103,38.25267984640567,0.8747353615981542,2.2884989231884107
0.29086749511257104,1.375185505069973,0.058823529411764705,0.028153456655958094,38.47865831846097,1.0965004790529822,2.4063833534881987
0.28879766529146755,1.495550924038635,0.058823529411764705,0.03453024531600074,38.7410272562362,1.3539038815465287,2.5436304915584493
0.2864007886646873,1.6398951832839288,0.058823529411764705,0.04191266690413934,39.04931376690161,1.6562568274077822,2.7054192908437784
0.2835930559859884,1.815158272504772,0.058823529411764705,0.05055781915090089,39.41667533159709,2.0164111862461085,2.8989497002644793
0.280259526640273,2.0309011293923738,0.058823529411764705,0.06081802240951815,39.86180453785031,2.452606174934147,3.134518177990022
0.2762383255370053,2.3008892364190965,0.058823529411764705,0.07318897196863206,40.412152602578246,2.991609052634077,3.427410652609132
0.27129426051502137,2.645480056168214,0.058823529411764705,0.08838996005497995,41.10968798128357,3.674307521968768,3.8012658858438333
0.265072712038243,3.0965489518126135,0.058823529411764705,0.10750374895198539,42.02187833458424,4.566322609731691,4.294576010489028
0.2570148474857039,3.706870032381713,0.058823529411764705,0.13223267615017334,43.264058678700266,5.779703964648711,4.974232189675629
0.24619217505783747,4.57049633031045,0.058823529411764705,0.1653957270150147,45.04994131272756,7.521628466980477,5.966353412191473
0.23096498569727586,5.870314997803489,0.058823529411764705,0.2119448051934118,47.81933998241868,10.217335769019359,7.535031303798825
0.2082637092392166,7.991097826497169,0.058823529411764705,0.2810618871187229,52.61133107605452,14.867805358006823,10.308005356259137
0.1724554422380092,11.684886427538897,0.058823529411764705,0.38924688157347653,62.28722169496914,24.220299507257927,15.909910174324414
0.11876886805612641,16.74611378656326,0.058823529411764705,0.5492600056497366,84.04969523030576,45.420077093951726,26.692402072142823
